中国科学院成都生物研究所	Chinese Academy of Sciences
温州医科大学	Wenzhou Medical College
中国科学院工程热物理研究所	Chinese Academy of Sciences
中国科学院大气物理研究所	Chinese Academy of Sciences
中国人民解放军第三军医大学	Third Military Medical University
西北大学	Northwest University (United States)
浙江工商大学	Zhejiang Gongshang University
中国科学院上海营养与健康研究所	Chinese Academy of Sciences
西北师范大学	Northwest Normal University
西藏大学	Tibet University
西南大学	Southwest University
西南交通大学	Southwest Jiaotong University
香港大学深圳研究院	University of Hong Kong
香港浸会大学深圳研究院	Hong Kong Baptist University
中国科学院南京地理与湖泊研究所	Chinese Academy of Sciences
中国科学院苏州纳米技术与纳米仿生研究所	Chinese Academy of Sciences
湘潭大学	Xiangtan University
云南财经大学	Yunnan University of Finance and Economics
长春理工大学	Changchun University of Science and Technology
中国科学院微生物研究所	Chinese Academy of Sciences
中国科学院深圳先进技术研究院	Chinese Academy of Sciences
中国科学院青藏高原研究所	Chinese Academy of Sciences
中国科学院上海硅酸盐研究所	Chinese Academy of Sciences
浙江工业大学	Zhejiang University of Technology
浙江理工大学	Zhejiang Sci-Tech University
浙江师范大学	Zhejiang Normal University
浙江中医药大学	Zhejiang Chinese Medical University
郑州大学	Zhengzhou University
中国科学院广州地球化学研究所	Chinese Academy of Sciences
中国工程物理研究院	China Academy of Engineering Physics
中国海洋大学	Ocean University of China
中国科学院上海微系统与信息技术研究所	Chinese Academy of Sciences
中国科学院近代物理研究所	Chinese Academy of Sciences
中国科学院、水利部成都山地灾害与环境研究所	Chinese Academy of Sciences
中国科学院半导体研究所	Chinese Academy of Sciences
中国科学院北京基因组研究所（国家生物信息中心）	Chinese Academy of Sciences
上海海事大学	Shanghai Maritime University
中国科学院城市环境研究所	Chinese Academy of Sciences
中国科学院沈阳自动化研究所	Chinese Academy of Sciences
中国科学院大学	Chinese Academy of Sciences
中国科学院地理科学与资源研究所	Chinese Academy of Sciences
中国科学院地球化学研究所	Chinese Academy of Sciences
中国科学院地球环境研究所	Chinese Academy of Sciences
中国科学院南海海洋研究所	Chinese Academy of Sciences
中国科学院空天信息创新研究院	Chinese Academy of Sciences
中国科学院水生生物研究所	Chinese Academy of Sciences
中国科学院福建物质结构研究所	Chinese Academy of Sciences
中国科学院分子植物科学卓越创新中心	Chinese Academy of Sciences
重庆大学	Chongqing University
中国科学院广州能源研究所	Chinese Academy of Sciences
中国科学院广州生物医药与健康研究院	Chinese Academy of Sciences
中国人民大学	Renmin University of China
中国科学院海洋研究所	Chinese Academy of Sciences
中国科学院声学研究所	Chinese Academy of Sciences
中国科学院华南植物园	Chinese Academy of Sciences
中国科学院软件研究所	Chinese Academy of Sciences
中国科学院脑科学与智能技术卓越创新中心	Chinese Academy of Sciences
中国科学院计算机网络信息中心	Chinese Academy of Sciences
中国科学院计算技术研究所	Chinese Academy of Sciences
中国科学院金属研究所	Chinese Academy of Sciences
中国科学院科技战略咨询研究院	Chinese Academy of Sciences
中日友好医院	China-Japan Friendship Hospital
中国科学院昆明植物研究所	Chinese Academy of Sciences
中国药科大学	China Pharmaceutical University
中国科学院理化技术研究所	Chinese Academy of Sciences
中国科学院理论物理研究所	Chinese Academy of Sciences
中国科学院南京地质古生物研究所	Chinese Academy of Sciences
中国科学院南京土壤研究所	Chinese Academy of Sciences
中国科学院上海巴斯德研究所	Chinese Academy of Sciences
中国科学院上海高等研究院	Chinese Academy of Sciences
中国科学院上海光学精密机械研究所	Chinese Academy of Sciences
中国科学院上海技术物理研究所	Chinese Academy of Sciences
中国农业大学	China Agricultural University
中国科学院深海科学与工程研究所	Chinese Academy of Sciences
中国科学院武汉病毒研究所	Chinese Academy of Sciences
中国科学院西安光学精密机械研究所	Chinese Academy of Sciences
中国科学院西双版纳热带植物园	Chinese Academy of Sciences
中国科学院心理研究所	Chinese Academy of Sciences
中国科学院新疆理化技术研究所	Chinese Academy of Sciences
中国科学院新疆生态与地理研究所	Chinese Academy of Sciences
中国科学院烟台海岸带研究所	Chinese Academy of Sciences
中国科学院长春光学精密机械与物理研究所	Chinese Academy of Sciences
中国科学院植物研究所	Chinese Academy of Sciences
中国科学院重庆绿色智能技术研究院	Chinese Academy of Sciences
中国科学院紫金山天文台	Chinese Academy of Sciences
中国矿业大学	China University of Mining and Technology
中国气象局成都高原气象研究所	China Meteorological Administration
中国气象局兰州干旱气象研究所	China Meteorological Administration
中国气象局气象干部培训学院	China Meteorological Administration
中国气象局乌鲁木齐沙漠气象研究所	China Meteorological Administration
中国气象局武汉暴雨研究所	China Meteorological Administration
中国人民解放军第四军医大学	Fourth Military Medical University
中国石油大学（北京）	China University of Petroleum
沈阳师范大学	Shenyang Normal University
中国石油化工股份有限公司石油勘探开发研究院	Sinopec
中央财经大学	Central University of Finance and Economics
重庆医科大学	Chongqing Medical University
自然资源部第二海洋研究所	Ontario Ministry of Natural Resources
自然资源部第三海洋研究所	Ontario Ministry of Natural Resources
自然资源部第一海洋研究所	Ontario Ministry of Natural Resources
中国人民解放军战略支援部队信息工程大学	PLA Information Engineering University
